SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
2.684400000000001,49.89300000000003,74.6091943547654,26.3,170.25199999999998,170.130679816,2,0,6,0,2,0,2,12,30,0,0,0,0,0,0,0,0,0,0,0.7,8.006731025239716,4.500887246306986,2.8793686207219675,1.6724254119287714,1.03358443228468,4.500887246306986,2.8793686207219675,1.6724254119287714,1.03358443228468,-0.79,11.21,6.891817639246214,5.955174067405255,0.0,12.073271675700152,9.53140013787187,0.0,39.53076089108528,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,9.53140013787187,0.0,0.0,0.0,45.63472727883358,0.0,12.654955790432378,0.0,0.0,5.969305287951849,4.736862953800049,4.794537184071822,0.0,0.0,0.0,32.42033623597502,12.841643245852019,6.923737199690624,0.0,6.103966387748303,0.0,0.0,0.0,5.969305287951849,10,0,0,0,0,0,0,0,0,2,0,12,9,2,0,0,0,0,6,4,2,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1564000000000005,44.7608,77.04062079137823,86.28,202.55299999999997,201.978134256,6,0,2,0,4,0,7,13,16,1,1,0,0,0,0,0,1,0,0,0.0,6.893364579451928,3.4824909200666068,2.5571341956689575,1.656845579732589,0.9410879467958669,3.104526447057379,2.149934068928351,1.3372330514719988,0.7545328394677622,-1.69,9.39841732979664,3.359310173331615,1.9093966896778856,0.0,9.846622097635342,0.0,20.228636537531145,0.0,18.19910120538483,5.022633313741326,0.0,0.0,11.374772549367124,0.0,11.600939890232516,9.846622097635342,0.0,0.0,0.0,0.0,0.0,43.4503710566573,0.0,0.0,22.97571243959964,0.0,20.228636537531145,0.0,0.0,0.0,11.600939890232516,6.06636706846161,6.06636706846161,15.912989166096953,5.022633313741326,0.0,0.0,11.374772549367124,0.0,6,0,1,0,0,0,0,2,0,4,0,13,5,2,0,3,3,0,2,12,6,0,0,2,2,5,0,2,0,3,3,0,0,0,0,1,0,0,0,0,0,0
3.246100000000002,51.083000000000034,74.85476008612592,17.07,166.26399999999998,166.135765196,1,0,4,0,1,0,1,12,30,1,0,1,1,0,0,0,0,1,1,0.7272727272727273,7.935346027959323,5.065261132663703,3.5018741946425496,2.4065241949061775,1.6259004335723242,5.065261132663703,3.5018741946425496,2.4065241949061775,1.6259004335723242,-0.5900000000000001,9.497642418930763,5.125927043660029,2.8026982192555554,0.0,5.783244946364939,4.794537184071822,0.0,51.8694885601727,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,51.8694885601727,0.0,11.64912463690315,0.0,0.0,5.783244946364939,0.0,4.794537184071822,0.0,0.0,0.0,25.841400552376523,31.256391021773304,6.4208216229260096,0.0,0.0,5.783244946364939,0.0,0.0,0.0,11,0,0,0,0,0,0,0,0,1,0,12,5,2,0,5,0,0,4,2,1,0,0,0,0,2,5,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0
2.585,46.87200000000002,68.12814556599189,12.89,167.25799999999998,166.98634116,1,0,0,1,3,0,3,10,15,2,2,0,0,1,0,0,1,0,0,0.0,6.823000330149924,4.1701291293311105,3.7209858313108573,2.4954524254089576,1.9683782380832333,2.9064189529034263,1.9641643512762017,1.2825956784868282,0.8600477782998868,-0.54,6.188259160820243,2.251704688280161,0.9135671399846704,0.0,4.9839785209472085,0.0,0.0,0.0,28.605123954519986,0.0,10.216620634085363,0.0,0.0,0.0,23.96557502594773,0.0,0.0,4.9839785209472085,0.0,4.339655680673546,0.0,24.26546827384644,0.0,0.0,34.18219566003309,0.0,0.0,4.9839785209472085,0.0,23.96557502594773,12.13273413692322,12.13273413692322,0.0,10.216620634085363,4.339655680673546,0.0,0.0,0.0,0.0,7,0,0,0,0,2,0,0,1,0,0,10,1,0,0,5,5,0,0,1,1,0,0,0,0,1,0,0,0,6,3,0,0,0,1,1,0,0,0,0,2,1
0.8510000000000002,35.2668,48.11118451352239,52.04,108.144,108.06874825599999,2,4,0,2,2,0,2,8,16,1,1,0,0,0,0,0,1,0,0,0.0,4.464101615137754,2.398717474235544,1.6666666666666672,0.936467025586168,0.49601129057086185,2.398717474235544,1.6666666666666672,0.936467025586168,0.49601129057086185,-1.1800000000000002,4.966627565982405,1.7381205361963379,0.9041418956093399,11.46733495432437,0.0,0.0,0.0,0.0,24.26546827384644,0.0,0.0,0.0,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46733495432437,24.26546827384644,0.0,0.0,11.374772549367124,11.46733495432437,0.0,0.0,0.0,0.0,0.0,24.26546827384644,11.374772549367124,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,2,0,0,0,8,2,0,0,3,3,0,0,2,2,4,2,0,0,2,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0
3.6426000000000025,65.64680000000004,92.4555707546816,20.23,204.31300000000002,204.15141526,1,1,6,1,1,0,1,15,35,1,1,0,0,0,0,0,1,0,0,0.42857142857142855,9.446849116570453,5.718475200102517,3.828490124479195,2.4748981435869175,1.5838975682869432,5.718475200102517,3.828490124479195,2.4748981435869175,1.5838975682869432,-1.08,11.99183908045977,7.243173657230877,4.797685546874999,0.0,11.713409359353623,0.0,0.0,38.17047518309165,35.90493987237732,0.0,6.076020106833881,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,32.60702369139466,6.606881964512918,41.468391364074314,0.0,0.0,6.076020106833881,5.106527394840706,0.0,0.0,0.0,0.0,56.173235894684574,23.97819926761828,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,14,0,0,0,0,0,0,0,0,1,0,15,8,1,0,3,3,0,6,2,1,1,1,0,0,2,6,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0
1.2688000000000001,30.8544,42.771293816509676,26.02,93.12899999999999,93.057849224,1,2,0,1,1,0,1,7,14,1,1,0,0,0,0,0,1,0,0,0.0,3.9641016151377544,2.1993587371177727,1.4106836025229597,0.7995724914118484,0.4530389187988476,2.1993587371177727,1.4106836025229597,0.7995724914118484,0.4530389187988476,-0.9800000000000001,4.18611295681063,1.6461962159398054,0.9290591797144502,5.733667477162185,0.0,0.0,0.0,0.0,30.33183534230805,0.0,0.0,0.0,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733667477162185,30.33183534230805,0.0,0.0,5.687386274683562,5.733667477162185,0.0,0.0,0.0,0.0,18.19910120538483,12.13273413692322,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,1,0,0,0,7,1,0,0,3,3,0,0,1,1,2,1,0,0,1,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0
1.4455,46.81090000000002,71.14118748925014,52.32,165.19199999999998,165.078978592,3,2,2,1,3,0,3,12,23,1,1,0,0,0,0,0,1,0,0,0.2222222222222222,6.910354708062404,3.7640725458859556,2.3424786483856304,1.4218177789634643,0.8336300246081277,3.7640725458859556,2.3424786483856304,1.4218177789634643,0.8336300246081277,-1.5099999999999998,8.585328884652048,3.7588733548338538,1.985036469518851,5.733667477162185,12.576187252464766,4.736862953800049,0.0,17.28172587545944,24.26546827384644,0.0,0.0,0.0,5.687386274683562,0.0,0.0,9.53140013787187,0.0,0.0,0.0,6.923737199690624,12.340549441675103,29.828919765543436,0.0,0.0,11.656691562635412,10.470530430962235,0.0,4.794537184071822,0.0,0.0,0.0,31.18920547353706,5.687386274683562,12.170333456209914,0.0,0.0,0.0,0.0,5.969305287951849,9,0,0,0,0,0,0,1,0,2,0,12,5,1,0,3,3,0,2,5,3,2,1,0,0,3,2,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0
1.5896,42.445700000000016,61.27569099157935,32.86,151.18999999999997,151.00918478,2,1,0,1,2,0,3,10,15,2,2,0,0,1,0,0,1,0,0,0.0,5.942394238613956,3.7562192858131467,2.8774824040542004,2.2487386743995885,1.6294480125370845,2.939722704885421,2.0294077079628905,1.3853720267189216,0.8995326187474075,-1.09,5.6765355505299455,1.9519932802068964,0.6749474353313213,5.559266895052008,4.3735399814164495,0.0,0.0,0.0,29.060005457918262,0.0,10.086144130933896,0.0,0.0,0.0,11.532486611566675,0.0,0.0,4.3735399814164495,0.0,0.0,0.0,34.61927235297027,0.0,0.0,21.61863074250057,0.0,9.16807716548827,0.0,0.0,0.0,23.665220748489894,12.13273413692322,0.0,10.086144130933896,0.0,0.0,0.0,5.559266895052008,0.0,7,0,0,0,0,1,0,0,1,1,0,10,0,1,0,5,5,0,0,3,2,1,1,0,0,1,0,0,0,6,3,0,0,0,1,1,0,0,0,0,2,1
2.615400000000001,63.71500000000003,103.69781152919383,52.6,242.23000000000002,242.0579088,4,0,2,0,4,0,4,18,28,2,2,0,0,0,0,0,2,0,0,0.0,9.406495853751712,5.304530452640312,3.4736324313660756,2.212024039232289,1.3203836344848499,5.304530452640312,3.4736324313660756,2.212024039232289,1.3203836344848499,-2.6199999999999988,11.853492048583622,5.63191006693438,2.946780724478822,0.0,11.938610575903699,9.775141906512223,0.0,20.715977351537635,60.6636706846161,0.0,0.0,0.0,0.0,0.0,0.0,19.364216274655867,0.0,0.0,0.0,0.0,0.0,71.7905736680101,0.0,0.0,11.938610575903699,0.0,0.0,19.364216274655867,0.0,0.0,36.39820241076966,24.26546827384644,0.0,11.126902983393991,0.0,0.0,0.0,0.0,11.938610575903699,14,0,0,0,0,0,0,0,0,4,0,18,5,2,0,6,6,0,2,8,4,0,0,0,0,2,2,2,0,10,2,0,0,0,0,2,0,0,0,0,0,0
1.1789,32.364799999999995,48.59057898608958,20.23,108.13999999999997,108.057514876,1,1,1,1,1,0,1,8,16,1,1,0,0,0,0,0,1,0,0,0.14285714285714285,4.541071722634634,2.5804647591330716,1.643712442661908,1.0253988479125442,0.5834198265146368,2.5804647591330716,1.643712442661908,1.0253988479125442,0.5834198265146368,-0.8200000000000001,5.319275766016713,2.4782287289052554,1.073981896801325,0.0,5.106527394840706,6.606881964512918,0.0,5.563451491696996,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,6.606881964512918,0.0,35.89528683400505,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,30.33183534230805,5.563451491696996,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,1,0,8,2,0,0,3,3,0,1,2,1,1,1,0,0,1,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0
2.2888,46.157000000000025,66.3630906449429,17.07,146.189,146.07316494,1,0,2,0,1,0,1,11,21,1,1,0,0,0,0,0,1,0,0,0.1,6.4497001747912455,3.5254913502778504,2.3546673458807956,1.310063962885701,0.7777290989802184,3.5254913502778504,2.3546673458807956,1.310063962885701,0.7777290989802184,-1.37,7.733842159916925,3.7145006798174434,2.8046483913205162,0.0,5.783244946364939,4.794537184071822,0.0,12.487188691387619,36.407855449141934,0.0,6.076020106833881,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,41.97130694083893,0.0,0.0,11.85926505319882,0.0,4.794537184071822,0.0,0.0,0.0,36.407855449141934,18.5632087982215,0.0,0.0,0.0,5.783244946364939,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,1,0,11,3,2,0,3,3,0,2,2,1,0,0,0,0,2,2,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0
3.1156000000000024,59.527000000000044,86.147520020317,17.07,190.28599999999997,190.135765196,1,0,3,0,1,0,1,14,32,1,1,0,0,0,0,0,1,0,0,0.46153846153846156,9.20921319878509,5.068871146498571,4.652265226320155,2.370825009063016,1.39700456280429,5.068871146498571,4.652265226320155,2.370825009063016,1.39700456280429,-1.11,10.967579519006982,4.405720409270866,2.985083934433029,0.0,6.286160523129555,16.63034927639461,0.0,38.31893620539187,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,39.02784531432067,0.0,35.392371257240434,0.0,0.0,6.286160523129555,4.794537184071822,0.0,0.0,0.0,0.0,45.03667987291831,22.96271507571678,6.4208216229260096,0.0,6.286160523129555,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,1,0,14,7,1,0,3,3,0,3,2,1,0,0,0,0,4,3,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0
1.2019,35.467,56.15016301969372,21.759999999999998,130.18699999999998,130.099379688,2,0,5,0,2,0,2,9,23,1,0,1,1,0,1,1,0,0,0,1.0,5.92938075605009,3.625331026294228,2.3838101489852828,1.348341094389762,0.6254452556214224,3.625331026294228,2.3838101489852828,1.348341094389762,0.6254452556214224,-0.08,7.032107623318386,3.854020551508844,3.4885012769209114,0.0,25.924612281287057,9.473725907600098,0.0,19.765380445542643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473725907600098,0.0,0.0,0.0,25.869346833290948,19.820645893538753,0.0,0.0,0.0,0.0,9.473725907600098,0.0,0.0,0.0,0.0,13.344558822616634,6.4208216229260096,6.606881964512918,13.213763929025836,6.103966387748303,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,1,1,9,6,0,0,3,0,0,5,4,2,0,0,0,0,1,5,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2.4879000000000007,46.30200000000003,67.80021493954504,17.07,150.22099999999998,150.104465068,1,0,1,0,1,0,1,11,25,1,0,0,1,0,0,0,0,0,1,0.5,7.184269172402757,3.963326066999694,3.293415683440302,2.2771000214588746,1.2763993866103889,3.963326066999694,3.293415683440302,2.2771000214588746,1.2763993866103889,-0.8500000000000001,8.248522167487685,3.0354524341669897,1.7934452549147415,0.0,5.783244946364939,4.794537184071822,5.917906046161393,26.689117645233267,23.801164850570913,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,5.917906046161393,26.689117645233267,0.0,23.801164850570913,0.0,0.0,5.783244946364939,0.0,4.794537184071822,0.0,0.0,0.0,18.228060320501644,31.759306598537915,6.4208216229260096,0.0,0.0,5.783244946364939,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,1,0,11,3,2,0,5,1,0,1,2,1,0,0,0,0,4,0,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0
4.894400000000004,92.19400000000006,135.25342033666848,6.48,318.8730000000001,318.09574728800004,2,0,4,0,3,0,4,21,40,3,2,0,1,0,0,1,2,0,0,0.29411764705882354,13.915837709306214,8.331172040341192,7.010513420734169,4.940160423539641,3.8308620729095892,7.136710986404238,5.490300683775358,3.574794941917979,2.5884116965055552,-1.1599999999999997,14.763801473252023,6.304372410382191,3.203270439286252,4.899909730850478,32.08476650803001,0.0,0.0,6.4208216229260096,52.25553643026682,5.022633313741326,0.0,0.0,11.374772549367124,0.0,23.36282483962363,0.0,0.0,4.899909730850478,0.0,16.21178857396156,32.08476650803001,47.487202792972596,0.0,0.0,34.73759738899076,9.799819461700956,0.0,0.0,0.0,0.0,35.49555897654685,57.39275733650101,21.358356670689453,11.374772549367124,0.0,0.0,0.0,0.0,0.0,17,0,1,0,0,1,0,1,1,0,0,21,7,0,0,10,6,0,4,2,2,0,0,0,0,3,3,1,0,8,6,0,0,0,0,3,0,0,0,0,4,2
1.8987,41.54000000000002,59.998148530546295,17.07,132.16199999999998,132.057514876,1,0,2,0,1,0,1,10,18,1,1,0,0,0,0,0,1,0,0,0.0,5.52705044398087,3.1017276641799554,1.9058831224074562,1.1668150461385,0.7145448510869892,3.1017276641799554,1.9058831224074562,1.1668150461385,0.7145448510869892,-1.37,6.745874855156431,3.6165878630836263,1.8597894898001621,0.0,6.286160523129555,4.794537184071822,0.0,5.563451491696996,36.407855449141934,0.0,6.076020106833881,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,41.97130694083893,0.0,0.0,12.362180629963436,0.0,4.794537184071822,0.0,0.0,0.0,36.407855449141934,11.639471598530877,0.0,0.0,6.286160523129555,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,1,0,10,2,2,0,3,3,0,2,2,1,0,0,0,0,1,3,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0
1.6921,42.56180000000003,60.63086018269854,20.23,134.178,134.07316494,1,1,2,1,1,0,1,10,20,1,1,0,0,0,0,0,1,0,0,0.1111111111111111,5.695772261013887,3.257168126931807,1.9956267154201976,1.2152829666784277,0.752937421067386,3.257168126931807,1.9956267154201976,1.2152829666784277,0.752937421067386,-1.08,7.032107623318386,3.854020551508844,2.0337812126823116,0.0,11.713409359353623,0.0,0.0,5.563451491696996,36.407855449141934,0.0,6.076020106833881,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,6.606881964512918,41.97130694083893,0.0,0.0,6.076020106833881,5.106527394840706,0.0,0.0,0.0,0.0,42.483875555975814,5.563451491696996,0.0,6.606881964512918,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,1,0,10,3,1,0,3,3,0,2,2,1,1,1,0,0,1,3,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0
2.2233799999999997,41.08900000000002,60.229206111971244,23.79,129.16199999999998,129.057849224,1,0,1,0,1,0,1,10,17,1,1,0,0,0,0,0,1,0,0,0.0,5.488665479827339,3.044974002795898,1.8731163807298736,1.14989151372505,0.6976428743998929,3.044974002795898,1.8731163807298736,1.14989151372505,0.6976428743998929,-1.5499999999999998,6.568343195266271,3.4706601158982107,1.7543657425425239,0.0,0.0,0.0,11.33111286753076,5.563451491696996,36.407855449141934,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,0.0,41.97130694083893,0.0,6.069221312792274,6.076020106833881,0.0,0.0,0.0,5.261891554738487,0.0,30.33183534230805,11.639471598530877,6.076020106833881,6.069221312792274,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,1,0,0,0,10,2,1,1,3,3,0,1,1,1,0,0,0,0,1,3,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0
2.878000000000001,48.48600000000003,68.80604609307427,17.07,152.237,152.120115132,1,0,4,0,1,0,1,11,27,0,0,0,0,0,0,0,0,0,0,0.5,7.554512660405836,3.908187543975612,2.9692516495910093,1.443820170964484,0.7880020563840352,3.908187543975612,2.9692516495910093,1.443820170964484,0.7880020563840352,-0.8500000000000001,10.15,5.899350869955592,7.042355752945163,0.0,6.286160523129555,4.794537184071822,0.0,33.61285484492389,23.2982492738063,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,33.61285484492389,0.0,23.2982492738063,0.0,0.0,6.286160523129555,0.0,4.794537184071822,0.0,0.0,0.0,17.22222916697242,39.68887495175777,0.0,0.0,6.286160523129555,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,1,0,11,7,3,0,0,0,0,4,2,1,0,0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.793,42.484000000000016,63.07940657528497,30.21,146.14499999999998,146.036779432,2,0,0,0,2,0,2,11,17,2,2,0,0,1,0,0,1,0,0,0.0,5.7805981960654815,3.3504063074083805,2.2922570838438423,1.528535399172959,1.011383034283897,3.3504063074083805,2.2922570838438423,1.528535399172959,1.011383034283897,-1.5699999999999998,6.160248407637458,2.234974333040861,1.02612164813026,5.625586319077987,0.0,0.0,0.0,0.0,45.60989053189483,0.0,10.969244356107037,0.0,0.0,0.0,0.0,4.417150937053347,0.0,0.0,0.0,0.0,0.0,46.818325913919466,0.0,0.0,10.969244356107037,4.417150937053347,0.0,4.794537184071822,0.0,0.0,18.19910120538483,12.13273413692322,11.452591282926406,0.0,5.583020141642242,0.0,0.0,0.0,5.625586319077987,9,0,0,0,0,0,0,0,0,1,1,11,0,1,0,6,5,0,0,4,2,0,0,0,0,1,0,0,0,7,3,0,0,0,0,2,0,0,0,0,2,1
3.370000000000002,60.01300000000004,86.89504128273487,17.07,192.30199999999996,192.15141526,1,0,2,0,1,0,1,14,34,1,0,0,1,0,0,0,0,0,1,0.6153846153846154,9.579456686788166,5.319985101786092,4.860014275054893,3.088758027310107,2.4483394259194733,5.319985101786092,4.860014275054893,3.088758027310107,2.4483394259194733,-0.8500000000000001,11.226045627376426,4.118968361635843,2.1434085618722865,0.0,5.783244946364939,4.794537184071822,17.250802561719567,34.11577042168851,24.304080427335524,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,17.250802561719567,34.11577042168851,0.0,24.304080427335524,0.0,0.0,5.783244946364939,0.0,4.794537184071822,0.0,0.0,0.0,38.999271919573516,30.75347544500869,5.917906046161393,0.0,0.0,5.783244946364939,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,1,0,14,6,2,0,5,1,0,2,2,1,0,0,0,0,5,2,1,0,3,2,1,0,0,0,1,0,0,0,0,0,0
-1.506599999999999,30.978499999999997,44.06372094865284,64.07,103.16900000000001,103.11094741599999,3,5,4,3,3,0,3,7,20,0,0,0,0,0,0,0,0,0,0,1.0,4.483127663125441,2.5236033621142733,1.3273502691896257,0.6422285251880866,0.32912414523193145,2.5236033621142733,1.3273502691896257,0.6422285251880866,0.32912414523193145,-0.12,6.880000000000001,5.88,5.88,16.784123558330702,26.1790256236503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.316788604006331,11.46733495432437,0.0,26.1790256236503,0.0,0.0,0.0,0.0,16.784123558330702,0.0,0.0,0.0,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,3,0,0,0,7,6,0,0,0,0,0,4,3,3,5,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6688,42.40600000000002,71.15437745552283,52.60000000000001,172.17999999999995,172.073558864,4,0,4,0,4,0,4,12,24,0,0,0,0,0,0,0,0,0,0,0.5,7.201907262607799,3.7187440150134066,1.8374299245754706,0.9286917917684798,0.5168256052173168,3.7187440150134066,1.8374299245754706,0.9286917917684798,0.5168256052173168,-1.32,10.68,6.393995146516292,5.463757940031418,0.0,25.152374504929536,19.06280027574374,0.0,13.847474399381248,12.152040213667762,0.0,0.0,0.0,0.0,0.0,0.0,19.06280027574374,0.0,0.0,0.0,13.847474399381248,13.213763929025836,12.152040213667762,0.0,0.0,11.938610575903699,9.473725907600098,0.0,9.589074368143644,0.0,0.0,0.0,13.847474399381248,12.152040213667762,13.213763929025836,0.0,0.0,0.0,0.0,11.938610575903699,8,0,0,0,0,0,0,0,0,4,0,12,8,3,0,0,0,0,4,8,4,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5382,40.39800000000002,64.79546563870821,26.3,148.16099999999997,148.052429496,2,0,0,0,2,0,2,11,19,2,1,0,1,0,0,1,1,0,0,0.2222222222222222,6.040111220059325,3.6468294860719683,2.5817932312743013,1.794863898397839,1.220336112770788,3.6468294860719683,2.5817932312743013,1.794863898397839,1.220336112770788,-1.31,6.4033600114109595,2.381380891498966,1.1134056202963443,4.736862953800049,5.969305287951849,11.21535880699783,0.0,11.984273114623004,24.26546827384644,0.0,0.0,0.0,0.0,5.749511833283905,0.0,9.53140013787187,0.0,0.0,0.0,12.841643245852019,0.0,29.828919765543436,0.0,5.749511833283905,5.969305287951849,4.736862953800049,4.794537184071822,0.0,0.0,0.0,18.19910120538483,18.050640183084614,0.0,6.4208216229260096,5.749511833283905,0.0,0.0,0.0,5.969305287951849,9,0,0,0,0,0,0,0,0,1,1,11,0,1,0,8,3,0,0,4,2,0,0,0,0,1,0,0,0,7,3,0,0,0,0,2,0,0,0,0,2,1
2.7513000000000014,49.531800000000025,70.12836077741078,20.23,156.26899999999998,156.15141526,1,1,5,1,1,0,1,11,31,0,0,0,0,0,0,0,0,0,0,0.8,7.9303412586254005,4.406998041192866,3.476278331478514,1.8339505289550058,1.0212503698810855,4.406998041192866,3.476278331478514,1.8339505289550058,1.0212503698810855,-0.30000000000000004,10.7,6.412726002270941,7.598269256176509,0.0,11.713409359353623,0.0,5.917906046161393,40.0336764678499,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,5.917906046161393,40.0336764678499,6.606881964512918,11.64912463690315,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,18.572861836593773,39.02784531432067,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0,0,0,0,1,0,11,9,1,0,0,0,0,5,2,1,1,1,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
